PolyA reads from egfp_a60_60.pod5 with Phred Quality score >= 7
read_id	start	end
0b4393ff-4ced-42af-8b6b-117929b88936	3125	4843
09e9613b-1ce6-4fd0-905a-e9fad920b428	3211	4602
0903b5b5-645f-496c-a884-5810c6c99abb	2875	4356
07a49574-c4d9-4555-b05e-ee4ceddc2865	2790	4351
049a9f89-8472-40e2-822d-c77a62def867	3133	4689
09e8b223-46b7-45dd-a575-0fcc4408e841	2146	3747
0b1f846b-3ad1-4f4d-8c46-fd119ce999d3	3043	3816
02ea95bb-f638-484d-87e8-e05a96402ba6	2808	3568
0963c73b-98ac-471d-a9e3-cccc5e45acba	4035	5242
0a2b8403-9da7-4aec-bb59-9c53a54e4bf5	2902	4618
0b1a4f92-6150-46ad-b002-f5304eb188c7	6097	7726
06116886-f04f-4f61-8dd6-6b32a43e0041	2228	3765
0853d743-8496-4f51-9bd6-093130d476a8	2717	4330
05aed66d-f4bf-444f-887d-e05d6c0bf1b7	2684	4538
0b427b69-1054-47c1-a474-badaa6b6d8b5	2249	3813
095ccc77-175a-4b7c-89f4-28b45fa73ebe	2800	4319
0804342e-8825-4a60-9337-3c817d863e42	2708	4729
0583e5d9-a77c-411e-aae3-da32bdbf902c	2902	4476
05858701-4128-471b-9c81-3c0238a2e147	2655	4080
054b0876-32fb-4d47-8e21-8c6f49dcb4e4	2543	4335
04d52cd4-1ea7-49fd-b4dd-2902bcb00015	3646	5145
05398cc3-3592-4402-963b-eaa5e159cb09	2878	4454
04e0cb49-b3c7-4183-8d53-252958a23cb2	3225	4961
059aea24-b6db-44c3-a045-ca034aad89ff	2799	4532
04e59918-c014-403a-bc48-067836aeaed5	4063	5707
0752ae6c-31cf-48de-878f-f1633473400e	2737	4833
06e1a159-350f-4037-9050-f60621d03731	2684	5511
04ee998b-4c05-4ef5-9aa9-e8ab50e7a269	2628	4086
053944af-c9d7-4175-9955-84b3fa437eee	2243	4017
0643f2a8-e487-4953-bf95-357cbe87ac64	2522	4014
0990bcb6-2be3-4aa8-ae39-9d197e4d9946	2446	4087
0809348a-1c38-450b-ae15-6c20ea2208fd	3329	4724
09235dec-949a-42ee-ae6a-8153491203b3	2302	4178
09659545-4aff-41cd-9d7e-18909d3d74e1	3134	4823
0a80a3f6-1e3f-46a4-8e27-c1bdf69dc105	2861	4399
093e7867-46f6-4972-91d9-853e8efbca1c	8614	10246
0a19839d-7e57-4f22-b7c3-295953945b47	2393	3915
09f2f9b1-b4bd-4350-8e24-1547e2cf20e7	2633	4073
09edce5c-fe7f-4550-b929-89bee0cd6713	2649	4085
093bd035-2cd3-4a24-9d8e-6889061f3653	2699	4373
09b0276f-c729-4f88-abb9-736dc19f3917	3093	5933
0b74e472-0983-4fe7-aa30-067e04bc525e	3214	5004
091e622e-f061-4758-a03a-b8f316882335	3069	4107
0a8036d5-6847-4851-9bba-c89ae5a1bb05	3578	5579
075d3f72-69db-44c9-9086-8c1c22997dd5	3299	4901
05fc13aa-5fab-4a35-a243-bf75bddcbd6d	2384	3365
0c03498c-4bec-4f1e-99f6-93d0148421d0	2790	4569
0bac87ad-ed4e-47fb-8350-0268202922d4	2625	4152
6c9c2af2-72c2-422a-984e-097d0a057fc4	1529	2756
694de553-2d3e-4d23-a345-691c8f3cc4b6	2667	4442
63c67843-f9d5-4761-8883-d06d8980c85e	2484	2926
4b8bb29c-f04e-4d44-b13c-e43d68991836	2505	3467
62af448b-f8f1-4971-b6da-f2ce3a64b59a	2551	4043
55c184fa-b6f2-4b38-bca2-073645d74da6	2714	4927
5f2bd61b-ab7f-43a1-aaae-96a4140c5706	2572	4188
5905e691-1518-4a4c-8693-432f0e8b897a	3490	5022
80b0a6a2-6765-41c2-b37f-1d53116c529e	3211	4856
