PolyA reads from egfp_a60_30.pod5 with Phred Quality score >= 7
read_id	start	end
4b2d9030-f4b2-429a-b38a-6f6cb063c062	2566	4250
4c4d0756-7200-4ff6-a064-f6e579a20842	2655	4189
50691726-01b2-46a6-967d-2c28df8e0fc7	2581	4218
4adffc40-0eda-4865-a0e0-97773a97bbac	2728	4351
4f27ff3c-95e9-49cd-aab6-8db3765c20a1	2802	5346
4ac8663f-c26a-4220-a06b-67b31a2297c5	3360	5601
4e377091-dd85-45c1-9962-ab66238355fb	3426	5022
7c91cf64-b0b1-4efe-8c0b-861220bfe52a	2652	4683
4c860414-5508-4cf6-8d03-9cebe7b167e6	3117	4833
4f5e1dc0-9a66-4925-adcc-08809836a55a	4369	6020
4e6221ee-2cef-4ff9-b102-cd117215a4f1	2770	3617
4baa7bb6-b73c-48cc-9bc1-7b0c925d3b8e	2570	3768
7cbbf6bd-a254-4404-bff2-180dbbae879f	2461	3952
4bb3dcc5-7121-4e82-bd55-e4c882257d46	3229	4565
4b9c8fe3-cf8b-46fe-bb03-f036e1efb47e	2611	5973
4ec9a9fd-c075-4ecf-b63f-8616075d62b2	2396	4042
5071def3-575d-471c-865f-8b3f4f4062af	3599	5045
5168561e-fdc5-44c1-8ec6-5769ed08e980	3653	4858
52473dd0-814c-4434-a700-d20786dbbe4a	2722	4109
554628ff-ff82-48f6-a38b-19ab077fe997	2053	3402
559ac611-5355-40f1-a85c-8b3359885f3e	2567	4447
536bb100-0816-47e4-88d2-a6aa801cccac	2337	3454
56236a90-fe53-448e-8725-9c146368a0fd	2496	3878
5408f556-0e74-4c34-9864-0956017c0b4a	2790	4284
550543a2-1aaf-4825-9bfb-c2cc14a2c259	4558	6158
543ef547-2f24-44b8-863a-9e6e728529a7	2646	3961
52fc2a0b-bc48-45f8-a172-44373b40e2f7	2655	4268
50de5d2f-25ab-49ba-a5e9-7774f679a5b8	3090	4984
54afdfaf-5238-46c0-bf72-e3b69f656b9f	2222	3830
565336f8-2e62-4186-8ad4-4041d9dc9597	2072	3927
530a3f6a-3034-44de-9714-6cce33e8fa64	2690	4462
5536ea7b-5f6d-4369-aee1-d994218d6457	3911	8326
562a59eb-1852-4415-af04-8ba391d6bf21	3135	7264
51446e5e-c4dd-474b-b633-6cae7fca02af	2634	3879
50e03451-e178-47f7-b7b4-cdcc4263c243	3114	4607
504e8a23-ab11-49c5-b0a6-3f480625c831	2993	5941
522927e4-3694-47b6-bc30-bd4e13dbbdd4	2678	4153
5191bf04-ef08-44b3-87ea-0ca1b738acda	3149	5305
522a3e1d-0495-453b-9ae9-3b8eb6a910e8	2290	3685
524c0843-9e64-4f60-8c51-05ed3da28d2c	3193	4871
5281331d-cbd3-4280-840a-9731ddb7ee4d	2770	4406
529d31bc-952c-4e05-9b75-ba490918fd16	2892	3855
528d379d-092c-4673-8be9-b9174aa8de89	2822	4455
53c82eb7-9823-4518-90d4-dd78115df2c9	2128	3712
5500fb0e-aa0d-460e-ba4e-b0b7dc53349b	2499	4412
558ed33c-e74c-45c3-a065-9baf33a07775	2234	3300
566dd279-f246-47ab-a249-08e9e81a571e	2028	3535
5608bbcf-25f3-4361-b146-627bc4ee6d0a	2216	3560
563359f8-6ca5-4fff-a5d8-9c7369d89b47	2552	4095
556771fd-3aee-4a3a-b79e-33f1da2942e5	2943	5647
50ef4077-cde5-4fc0-9eed-bfb0b0e37e58	4655	7990
52b49914-f096-4f3c-8d69-55e8046797cd	2911	5093
56351120-63b8-424d-ac89-790a8697cfe2	2575	3861
5228ce7f-bf73-4c2f-bee7-1d33827b3143	2808	4587
56948ce3-c7a8-4282-9beb-6b1cf98062fa	2990	4690
5349eff8-9619-47a2-a3ec-50b8cac5c723	4499	6185
5173f56a-ff0f-4798-8dc5-6a17476d3c1e	3284	7517
54bcf2c4-8c9c-4cb7-9432-3ccb683375f1	2437	7490
51b81280-90f8-4a5b-8e4d-2fa28f2ecc54	2430	8358
5323dbc5-c87c-412a-9173-0435a12452fe	2728	8167
52be3c3e-6682-4dd0-bfb0-d513b8fc8623	2499	11228
52aa205a-49c9-442b-a949-064d4fdc91e8	2687	4382
4cb5ce4e-410f-42f1-9934-713bc7b4e855	3131	4946
