read_id	start	end
11c33ae9-e208-465a-9051-af42dbc5e0d0	2837	4391
1698f0bd-c14d-4dc9-98a3-9e59c4d4c57a	2670	4120
15dc4c1d-96ab-4831-a0d2-1b50e60e26c3	2672	4173
184687ef-8633-4d82-8a20-a25d2a411d84	2885	4488
176c9355-6428-476e-a056-5f19ced66b64	2705	4390
18a89501-1b76-4a57-8e30-7296c9659181	2814	5966
17fc286c-dfa0-471b-bd0c-6716cf99a2f4	3007	4951
187669fe-0c7f-4611-87fe-90c791b2a602	2609	5385
183b19fd-4773-4779-b995-7de6e9edbe81	3228	4171
16e61dd0-38e9-42f0-baf6-17c9fe5e7cf3	2702	5519
1dd6aabd-68ad-4bf5-95f1-6c9196276925	3131	6117
16d17db8-ccb7-4daa-b23f-96ae2555b3bc	2861	9608
02cc5656-185c-4fbf-b710-b82d988764cb	2140	4394
021e83b6-1ddb-4594-b4fa-e8a6df13a132	2975	4744
05a4eada-595a-436b-aef1-4b0a6964b90f	2720	4499
0626ea3c-3a91-4a8f-88d1-042a1e8f966d	2940	5751
0b1d98a2-0099-41cd-9f42-0685c30fd239	2455	4159
07830e81-00c0-4339-a282-376300165024	3287	4945
04447761-81b2-4463-b358-85e8a0eafe97	3172	5467
0a6363f6-6fe4-401b-8897-51dc7115b3ee	3649	4834
03a14010-cdba-4849-a876-531cefbb4db1	2220	4341
0c188a56-7539-422c-baac-39086e366676	2728	4462
02a347f6-3f91-41b3-b82e-7cd0ea7e1b69	2599	4149
05c3928a-0b1e-4275-9d0e-300d918e407b	3232	6210
075df73a-f5e5-4fd8-b168-c279f5a1cabb	5820	7527
084b6255-8fd8-4e81-8aef-b4e12224be56	2010	2714
085da6c8-7f5a-4488-a574-773694fb3862	2770	4416
087eae48-37fc-4fbe-8bd6-0e1d8c6078a6	2402	4287
0a2c5244-dc0c-461f-abc1-bc55f573cfe4	2519	5654
0ac735f6-ecc4-464e-a7db-e14dd6952d57	3497	4696
0c9da0c8-2b99-43e3-8ffc-7378394f6e9b	3149	4179
